time,sleeptime,HPA_CtrlReq,VCU_CrntGearLvl,KP_Dist,KP_Psi,PreTime,err0_Dist,err0_Psi,VehSpd,SasAng,Dir,Dir_LatCtrl,PathPoint0_Vmax,PathPoint0_Curv,PathPoint0_X,PathPoint0_Y,PathPoint0_Yaw,VehPos_Curv,VehPos_X,VehPos_Y,VehPos_Yaw,PredX,PredY,PredYaw,DesPos_Curv,DesPos_X,DesPos_Y,DesPos_Yaw,errDist0,errPsi0,errDist,errPsi,steerDist,steerPsi,steerFF,CTRL_OffTrack,CTRL_GearReq,CTRL_SpdLimit,CTRL_StopDist,CTRL_SteerAng
0.0618,0.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,-1.50,0,1,2.00,0.03,-0.19,-0.09,-0.02,0.00,-0.24,-0.05,-0.03,-0.24,-0.05,-0.03,0.03,-0.19,-0.09,-0.02,-0.09,-0.02,-0.04,0.01,17.22,-6.05,0.00,0,4,2.00,0.00,2.23
0.1114,-29840.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,-1.50,0,1,2.00,0.03,-0.19,-0.09,-0.02,0.00,-0.24,-0.05,-0.03,-0.24,-0.05,-0.03,0.03,-0.19,-0.09,-0.02,-0.09,-0.02,-0.04,0.01,29.27,-10.29,0.00,0,4,2.00,40.00,5.58
0.1613,-30000.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,-1.50,0,1,2.00,0.03,-0.19,-0.09,-0.02,0.00,-0.24,-0.05,-0.03,-0.24,-0.05,-0.03,0.03,-0.19,-0.09,-0.02,-0.09,-0.02,-0.04,0.01,35.98,-12.65,0.00,0,4,2.00,40.00,9.13
0.2254,-43913.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,-1.50,0,1,2.00,0.03,-0.19,-0.09,-0.02,0.00,-0.24,-0.05,-0.03,-0.24,-0.05,-0.03,0.03,-0.19,-0.09,-0.02,-0.09,-0.02,-0.04,0.01,39.48,-13.88,0.00,0,4,2.00,40.00,12.43
0.2824,-37065.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,0.70,0,1,2.00,0.03,-0.19,-0.09,-0.02,0.00,-0.24,-0.05,-0.03,-0.24,-0.05,-0.03,0.03,-0.19,-0.09,-0.02,-0.09,-0.02,-0.04,0.01,41.25,-14.50,0.00,0,4,2.00,40.00,15.29
0.3420,-39427.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,4.70,0,1,2.00,0.03,-0.19,-0.09,-0.02,0.00,-0.24,-0.05,-0.03,-0.24,-0.05,-0.03,0.03,-0.19,-0.09,-0.02,-0.09,-0.02,-0.04,0.01,42.15,-14.82,0.00,0,4,2.00,40.00,17.70
0.4012,-39390.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,8.80,0,1,2.00,0.03,-0.19,-0.09,-0.02,0.00,-0.24,-0.05,-0.03,-0.24,-0.05,-0.03,0.03,-0.19,-0.09,-0.02,-0.09,-0.02,-0.04,0.01,42.59,-14.97,0.00,0,4,2.00,40.00,19.68
0.4612,-40003.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,12.50,0,1,2.00,0.03,-0.19,-0.09,-0.02,0.00,-0.24,-0.05,-0.03,-0.24,-0.05,-0.03,0.03,-0.19,-0.09,-0.02,-0.09,-0.02,-0.04,0.01,42.82,-15.05,0.00,0,4,2.00,40.00,21.30
0.5215,-40233.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,15.40,0,1,2.00,0.03,-0.19,-0.09,-0.02,0.00,-0.24,-0.05,-0.03,-0.24,-0.05,-0.03,0.03,-0.19,-0.09,-0.02,-0.09,-0.02,-0.04,0.01,42.93,-15.09,0.00,0,4,2.00,40.00,22.61
0.6032,-61777.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,18.00,0,1,2.00,0.03,-0.19,-0.09,-0.02,0.00,-0.24,-0.05,-0.03,-0.24,-0.05,-0.03,0.03,-0.19,-0.09,-0.02,-0.09,-0.02,-0.04,0.01,42.99,-15.11,0.00,0,4,2.00,40.00,23.66
0.6608,-37654.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,19.50,0,1,2.00,0.03,-0.19,-0.09,-0.02,0.00,-0.23,-0.05,-0.03,-0.23,-0.05,-0.03,0.03,-0.19,-0.09,-0.02,-0.09,-0.02,-0.04,0.01,42.96,-15.15,0.00,0,4,2.00,40.00,24.49
0.7212,-40268.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,21.20,0,1,2.00,0.03,-0.19,-0.09,-0.02,0.00,-0.22,-0.05,-0.03,-0.22,-0.05,-0.03,0.03,-0.19,-0.09,-0.02,-0.09,-0.02,-0.04,0.01,42.88,-15.19,0.00,0,4,2.00,40.00,25.13
0.7815,-40352.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,22.70,0,1,2.00,0.03,-0.19,-0.09,-0.02,0.00,-0.22,-0.05,-0.03,-0.22,-0.05,-0.03,0.03,-0.19,-0.09,-0.02,-0.09,-0.02,-0.04,0.01,42.82,-15.17,0.00,0,4,2.00,40.00,25.63
0.8413,-39774.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,24.00,0,1,2.00,0.03,-0.19,-0.09,-0.02,0.00,-0.20,-0.05,-0.03,-0.20,-0.05,-0.03,0.03,-0.19,-0.09,-0.02,-0.09,-0.02,-0.04,0.01,42.74,-15.20,0.00,0,4,2.00,40.00,26.01
0.9012,-39953.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,25.20,0,1,2.00,0.03,-0.19,-0.09,-0.02,0.00,-0.19,-0.05,-0.03,-0.19,-0.05,-0.03,0.03,-0.19,-0.09,-0.02,-0.09,-0.02,-0.04,0.01,42.63,-15.42,0.00,0,4,2.00,40.00,26.25
0.9627,-41528.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.68,25.90,1,1,2.00,0.03,-0.09,-0.09,-0.01,0.00,-0.16,-0.05,-0.03,-0.09,-0.05,-0.03,0.03,-0.09,-0.09,-0.01,-0.09,-0.01,-0.04,0.01,42.02,-18.17,0.00,0,4,2.00,40.00,25.77
1.0216,-38543.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.84,26.60,1,1,2.00,0.03,-0.09,-0.09,-0.01,0.00,-0.14,-0.05,-0.03,-0.04,-0.05,-0.03,0.03,-0.04,-0.09,-0.01,-0.09,-0.01,-0.04,0.02,41.21,-21.09,0.00,0,4,2.00,40.00,24.64
1.0814,-40087.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.96,26.90,1,1,2.00,0.03,-0.09,-0.09,-0.01,0.00,-0.12,-0.05,-0.03,-0.02,-0.05,-0.03,0.03,-0.02,-0.09,-0.01,-0.09,-0.01,-0.04,0.02,40.49,-23.43,0.00,0,4,2.00,40.00,23.12
1.1415,-40188.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.96,26.90,1,1,2.00,0.03,-0.09,-0.09,-0.01,0.00,-0.11,-0.05,-0.03,-0.00,-0.05,-0.03,0.03,-0.00,-0.09,-0.01,-0.09,-0.01,-0.04,0.02,39.95,-25.00,0.00,0,4,2.00,40.00,21.49
1.2012,-39702.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,1.01,26.90,1,1,2.00,0.03,-0.09,-0.09,-0.01,0.00,-0.08,-0.05,-0.03,0.03,-0.05,-0.03,0.03,0.03,-0.09,-0.01,-0.09,-0.01,-0.04,0.02,39.12,-26.43,0.00,0,4,2.00,40.00,19.73
1.2726,-51250.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,1.07,26.90,1,1,2.00,0.03,0.01,-0.09,-0.01,0.00,-0.06,-0.05,-0.03,0.06,-0.05,-0.03,0.03,0.06,-0.09,-0.01,-0.09,-0.01,-0.04,0.02,37.86,-27.92,0.00,0,4,2.00,40.00,17.77
